feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
chemotyper,CYP2C9_antagonist,RandomForest,2,9014,2883,0.3198,0.7844,0.6187,0.3771,0.6809,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,CYP2C9_antagonist,RandomForest,3,9014,2883,0.3198,0.8054,0.6578,0.4367,0.6983,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP2C9_antagonist,RandomForest,4,9014,2883,0.3198,0.7957,0.6386,0.4349,0.7052,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C9_antagonist,RandomForest,0,9014,2883,0.3198,0.7845,0.6378,0.3932,0.6877,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C9_antagonist,RandomForest,1,9014,2883,0.3198,0.7936,0.6401,0.4291,0.706,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2C9_antagonist,RandomForest,2,9014,2883,0.3198,0.7781,0.614,0.3802,0.6832,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,CYP2C9_antagonist,RandomForest,3,9014,2883,0.3198,0.8004,0.6477,0.4292,0.6959,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP2C9_antagonist,RandomForest,4,9014,2883,0.3198,0.7914,0.6297,0.4304,0.7045,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP3A4_antagonist,RandomForest,0,9014,2219,0.2462,0.8193,0.6028,0.38,0.6527,"{'max_features': 'sqrt', 'n_estimators': 200}"
chemotyper,CYP3A4_antagonist,RandomForest,1,9014,2219,0.2462,0.7956,0.5556,0.3586,0.6552,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP3A4_antagonist,RandomForest,2,9014,2219,0.2462,0.8078,0.5795,0.3522,0.6491,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP3A4_antagonist,RandomForest,3,9014,2219,0.2462,0.8015,0.5611,0.3896,0.6663,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,CYP3A4_antagonist,RandomForest,4,9014,2219,0.2462,0.8098,0.564,0.3961,0.6741,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP3A4_antagonist,RandomForest,0,9014,2219,0.2462,0.8169,0.6014,0.3769,0.6519,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP3A4_antagonist,RandomForest,1,9014,2219,0.2462,0.7955,0.5553,0.3419,0.6458,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP3A4_antagonist,RandomForest,2,9014,2219,0.2462,0.8049,0.5758,0.3642,0.654,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,CYP3A4_antagonist,RandomForest,3,9014,2219,0.2462,0.7892,0.5409,0.3622,0.654,"{'max_features': 'sqrt', 'n_estimators': 400}"
